date,no_positve,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.48708854328793444, 0.5129114567120656]",0.0,9.04126873012682e-05,0.0,0.0,6.123295527158987e-05,0.0
2019-01-02,"[0.5053612043706751, 0.49463879562932495]",0.0,0.0005632843283227503,0.0,0.0,0.0004272556758252218,0.0
2019-01-03,"[0.47389301383435567, 0.5261069861656443]",0.0,0.00010212349770444519,0.0,0.0,7.572958012258593e-05,0.0
2019-01-04,"[0.49293165337823397, 0.507068346621766]",9.192419125102069e-05,0.00028162798783225366,-0.000189703796581233,6.790044869633995e-05,0.00023406965850743304,0.0001509850536018865
2019-01-05,"[0.45813242932672804, 0.541867570673272]",0.0006163451911862482,0.0010244582250659214,-0.00040811303387967325,0.0004052008933564389,0.0007077393481376633,0.0005564701207470511
2019-01-06,"[0.47443092352466965, 0.5255690764753302]",0.00010163638954652206,0.0008571006444476496,-0.0007554642549011275,7.341400011092846e-05,0.00029101051003945763,0.00018221225507519305
2019-01-07,"[0.5044625437506346, 0.49553745624936546]",0.0005309439009229753,8.841560745485404e-05,0.00044252829346812125,0.0004156200383171158,5.935676554412942e-05,0.00023748840193062263
2019-01-08,"[0.5191682923980181, 0.48083170760198196]",0.0009913651670181462,2.1263386766671197e-05,0.000970101780251475,0.0007171686831532546,2.5756887251765146e-05,0.00037146278520250987
2019-01-09,"[0.5217290977766728, 0.4782709022233273]",0.0004238178926811314,0.00027284903730995686,0.00015096885537117452,0.0004951579252196362,0.0003252866153138142,0.00041022227026672525
2019-01-10,"[0.5084311535893623, 0.4915688464106377]",5.1355057764215176e-05,0.000265691909173911,-0.0002143368514096958,3.32180587071446e-05,0.00013233087403110964,8.277446636912712e-05
2019-01-11,"[0.5215402112987889, 0.47845978870121103]",2.9612989603542968e-05,0.0005290666703516382,-0.0004994536807480952,3.9890438192478565e-05,0.00037370027148382926,0.0002067953548381539
2019-01-12,"[0.4835235841282854, 0.5164764158717147]",0.0005876996109370876,0.0003444070787730954,0.00024329253216399222,0.00019621159666633896,0.00037352707629101817,0.00028486933647867856
2019-01-13,"[0.48012141963503263, 0.5198785803649674]",0.00042154253198746294,0.0004511134028233052,-2.957087083584227e-05,0.0003482218836880937,0.00039964453953491734,0.0003739332116115055
2019-01-14,"[0.5251054610209545, 0.4748945389790455]",0.0006277868714634252,0.0002878757777562289,0.0003399110937071963,0.00044350492151039214,0.0001300660837271314,0.0002867855026187618
2019-01-15,"[0.5015536224279343, 0.4984463775720657]",0.00022330605019855865,4.146628639211176e-05,0.0001818397638064469,4.716257799682688e-05,2.5445618249579954e-05,3.630409812320342e-05
2019-01-16,"[0.49504467096297955, 0.5049553290370205]",0.00019489517196768377,3.8547748807874175e-05,0.0001563474231598096,0.00018554936376116837,3.9491937496250076e-05,0.00011252065062870922
2019-01-17,"[0.5087455756031137, 0.49125442439688616]",8.45697335145526e-05,0.00018659308323592966,-0.00010202334972137706,4.462509086504297e-05,0.00010233511446942401,7.348010266723349e-05
2019-01-18,"[0.48911646439618317, 0.5108835356038168]",9.58635882093521e-05,5.647844663186401e-05,3.938514157748809e-05,7.266822077083545e-05,4.3908987252574444e-05,5.8288604011704946e-05
2019-01-19,"[0.4979446798064209, 0.502055320193579]",3.383812800104481e-05,5.4083153871168394e-05,-2.0245025870123582e-05,2.2394362483685225e-05,3.279138571501952e-05,2.759287409935237e-05
2019-01-20,"[0.48389670975649435, 0.5161032902435057]",0.00014037433720788398,0.00017479845681701977,-3.4424119609135795e-05,0.00012404357494343998,0.0001214153049199813,0.00012272943993171063
2019-01-21,"[0.5044015712508306, 0.49559842874916943]",0.00011598029874317153,4.3940203060267476e-05,7.204009568290406e-05,7.733361567655569e-05,5.6145947773086065e-05,6.673978172482087e-05
2019-01-22,"[0.48870490374428793, 0.511295096255712]",5.915554745320955e-05,0.0002482939260877688,-0.00018913837863455927,4.703782248625603e-05,0.00012031142616144391,8.367462432384997e-05
2019-01-23,"[0.5084939059015507, 0.4915060940984493]",0.0001689169026299793,6.24851954773163e-05,0.000106431707152663,0.00012159703982767872,5.737043384263056e-05,8.948373683515464e-05
2019-01-24,"[0.5050972279765314, 0.4949027720234685]",4.6792368494440835e-05,0.00015946747451969128,-0.00011267510602525044,6.19645406497818e-05,0.00010772159798918361,8.48430693194827e-05
2019-01-25,"[0.5175016577098888, 0.4824983422901112]",0.00017742461338183138,0.00046847087863407817,-0.0002910462652522468,0.0001684349408909064,0.00016334837044954808,0.00016589165567022725
2019-01-26,"[0.49169620504637196, 0.508303794953628]",0.00018797039471111577,3.1040721554093196e-05,0.00015692967315702257,0.0001046852337211661,2.714442589372944e-05,6.591482980744776e-05
2019-01-27,"[0.48013611702374054, 0.5198638829762595]",0.0003589198319855153,0.0001496200448036335,0.00020929978718188177,0.00025992224326838997,7.334361713331764e-05,0.0001666329302008538
2019-01-28,"[0.49014987657692516, 0.5098501234230748]",0.0001418357790346461,0.00011982002774151591,2.201575129313019e-05,0.00016546877389447785,9.941654797368929e-05,0.00013244266093408356
2019-01-29,"[0.49877453116620085, 0.5012254688337991]",7.867793514593647e-05,0.00011061937794931227,-3.1941442803375806e-05,6.743164985975063e-05,9.21344741663478e-05,7.978306201304921e-05
2019-01-30,"[0.5013399202286568, 0.49866007977134313]",9.693322550693177e-05,0.0003438637714170977,-0.00024693054591016594,9.366759690783265e-05,0.00025261550984218733,0.00017314155337501
