date,no_Glæde/Sindsro,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.15170399501258813, 0.3534368440566676, 0.12320951764431502, 0.06236923180999994, 0.22774917810861076, 0.0349953710209842, 0.04653586234683443]",0.0,0.004052142348982645,0.0,0.0,0.0015294035918053132,0.0
2019-01-02,"[0.09833769160373973, 0.35252866686605383, 0.12274430529448406, 0.06287572743546967, 0.23569484439832844, 0.04593373215615868, 0.08188503224576547]",0.0,0.0036596861058013092,0.0,0.0,0.0017777955097565152,0.0
2019-01-03,"[0.09945041032456693, 0.335198960593829, 0.1339042969875775, 0.06178000831419683, 0.2658171976861201, 0.04398001051168792, 0.05986911558202169]",0.0,0.0015916483814326539,0.0,0.0,0.0005137018840173271,0.0
2019-01-04,"[0.11736058260487418, 0.3361461886718503, 0.12847073084554686, 0.06678272592129397, 0.2657865496990725, 0.03781515964954337, 0.04763806260781884]",0.0021560581489069165,0.0006765612092074027,0.0014794969396995138,0.0010675698671371821,0.00018183449742220327,0.0006247021822796927
2019-01-05,"[0.12926456102878073, 0.3019097852647921, 0.1363500229399454, 0.06732335145297193, 0.2817800451581418, 0.03591468087459348, 0.04745755328077459]",0.0029499051746258516,0.0016028871459937023,0.0013470180286321493,0.002161615608241687,0.001105194954625416,0.0016334052814335515
2019-01-06,"[0.12629655196791462, 0.3118101367539014, 0.13167638533078707, 0.06797537851962344, 0.278563588589788, 0.03535660244299244, 0.04832135639499302]",0.0007351612586119226,0.0017711203052506016,-0.001035959046638679,0.000702138268299746,0.00024058014249173939,0.0004713592053957427
2019-01-07,"[0.10883838726642239, 0.361907417292355, 0.12929054558056371, 0.061193609718654285, 0.24971722784890524, 0.03223286006174037, 0.056819952231359064]",0.0018105244718165687,0.0002363493501072624,0.0015741751217093062,0.0007586663565519681,0.0001510157169953245,0.0004548410367736463
2019-01-08,"[0.11789908402196424, 0.35754593589804134, 0.126220525889863, 0.06328580390866925, 0.2502189618105882, 0.03133666977858333, 0.05349301869229054]",0.0012152653429562245,0.0002562856765649585,0.000958979666391266,0.0008015909028406101,0.00015589074410069504,0.0004787408234706526
2019-01-09,"[0.11630583122919048, 0.36568145789085554, 0.1272391933794295, 0.05935721890856405, 0.24658849005564815, 0.03179006889050575, 0.053037739645806534]",0.0007037823735663593,0.0007061043643403958,-2.3219907740364967e-06,0.0008667143085090216,0.0007435558508877724,0.000805135079698397
2019-01-10,"[0.1131506710502878, 0.37780259979982533, 0.12442836110035915, 0.054782313675819844, 0.24820572077209996, 0.034258249762102275, 0.04737208383950556]",0.00037183189441714537,0.0018712552057164728,-0.0014994233112993274,0.00010856163366091957,0.0011849154858115842,0.0006467385597362519
2019-01-11,"[0.12025049133266319, 0.3620672826134395, 0.13424029267285664, 0.056139909097395746, 0.24649215842075256, 0.0323564293745233, 0.04845343648836909]",0.0002170807202274488,0.0013797184216766875,-0.0011626377014492388,5.2212288674659854e-05,0.0007488953911337996,0.0004005538399042297
2019-01-12,"[0.11865738334631712, 0.31492474506028667, 0.13432204643786413, 0.06302160231187393, 0.28319102053429684, 0.03612915674452345, 0.04975404556483793]",0.0018920759110468775,0.001364816089077428,0.0005272598219694495,0.0002965979278520846,0.000668654394694307,0.00048262616127319586
2019-01-13,"[0.12752273169184056, 0.30886565091023505, 0.13346692651662875, 0.07400615575116772, 0.2703984656934229, 0.03884551782015285, 0.04689455161655222]",0.0018827343339899688,0.0030952319231015613,-0.0012124975891115925,0.00108766036002596,0.000890340585156298,0.000989000472591129
2019-01-14,"[0.1104734355823163, 0.37148766920470166, 0.12478837551973411, 0.06450047216115941, 0.24719871202295077, 0.03311581947445327, 0.0484355160346845]",0.0015709037608897319,0.0005972644423970201,0.0009736393184927118,0.000865335194428127,0.0004338474868633406,0.0006495913406457338
2019-01-15,"[0.10887366927973724, 0.36673994221188566, 0.12521451533496955, 0.057707843220417415, 0.2560428421126111, 0.0317428589453238, 0.05367832889505533]",0.0014898634991514874,0.00045195960729668927,0.001037903891854798,0.0009699527379980515,0.0002204263661081952,0.0005951895520531234
2019-01-16,"[0.10182961018293347, 0.3688354568365867, 0.12781037197789025, 0.05360038936515537, 0.2549548324311724, 0.027054860970674516, 0.06591447823558733]",0.002021994234616524,0.0018657644177533707,0.00015622981686315342,0.001669317856316307,0.0010973288248741035,0.0013833233405952054
2019-01-17,"[0.10886590968989103, 0.35834007614298136, 0.13506023184264598, 0.06018524416055304, 0.2528855584099145, 0.029670529566706027, 0.054992450187308084]",0.00034884327272420145,0.0014901568621231416,-0.0011413135893989402,0.00014940272814237878,0.0007284000219996991,0.0004389013750710389
2019-01-18,"[0.11150575504631204, 0.3408551822438936, 0.12760852138920686, 0.06463183966010234, 0.276385721002643, 0.032796334648480384, 0.04621664600936173]",0.0010845570800354864,0.0005092988535226391,0.0005752582265128473,0.0005532868957680311,0.00029067029492480916,0.0004219785953464201
2019-01-19,"[0.12396882409076643, 0.32923058454151694, 0.13487219370814535, 0.0663975765350932, 0.2677868260516965, 0.035733183839139857, 0.04201081123364165]",0.0016362741862702285,0.0009591560850341915,0.000677118101236037,0.0011745627435833226,0.0003179210816183341,0.0007462419126008284
2019-01-20,"[0.11484962825791768, 0.31091087372957543, 0.12860546954471122, 0.06960935590430811, 0.2835349388681195, 0.04498540536596578, 0.04750432832940239]",0.001368303129265957,0.00230125776052032,-0.000932954631254363,0.0007735752062485227,0.0008243231008927153,0.000798949153570619
