date,no_Tillid/Accept,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.1571723779452617, 0.3511584789642301, 0.1224152703303257, 0.06196718011961289, 0.22628103525378493, 0.03476977984940186, 0.04623587753738286]",0.0,0.00629467073405907,0.0,0.0,0.0012477867078118238,0.0
2019-01-02,"[0.08897436900777603, 0.35618950485545914, 0.12401894494237387, 0.06352866114906952, 0.23814242021663262, 0.046410731525223674, 0.08273536830346506]",0.0,0.0032756945359121805,0.0,0.0,0.001411992780555406,0.0
2019-01-03,"[0.09247905190058948, 0.337793811698571, 0.1349408804911551, 0.06225826135693021, 0.267874948843383, 0.04432046973823398, 0.06033257597113721]",0.0,0.0009449787080896177,0.0,0.0,0.00029161481604072836,0.0
2019-01-04,"[0.09705193137114222, 0.34388057666171823, 0.13142671401949668, 0.06831932972851588, 0.27190203268575525, 0.03868524869557414, 0.048734166837797716]",0.0028706260492937443,0.0006316745217585257,0.0022389515275352185,0.001788427564420195,0.00012177080480344109,0.0009550991846118181
2019-01-05,"[0.10145859017750976, 0.3115509395271073, 0.140704209750026, 0.06947324803961251, 0.2907783784881765, 0.037061576389391344, 0.048973057628176574]",0.0023018728863611893,0.0014912176739539402,0.0008106552124072491,0.0019497417617911023,0.0009817258007143298,0.001465733781252716
2019-01-06,"[0.10690594642310297, 0.3187303193173181, 0.13459875544763494, 0.06948399537881304, 0.2847459112962602, 0.03614129195397125, 0.049393780182899555]",0.0005615019523631189,0.001932549128825448,-0.001371047176462329,0.00041368255488230293,0.000285954343312488,0.00034981844909739545
2019-01-07,"[0.09391536789550174, 0.36796776742589277, 0.1314555909422657, 0.06221833229440223, 0.2538988880272549, 0.032772618045262644, 0.0577714353694202]",0.0016341604383830744,0.00018918641930107017,0.0014449740190820041,0.0006467235915235176,0.0001785095727026439,0.00041261658211308076
2019-01-08,"[0.09352352025786109, 0.36742619290856193, 0.12970844481323887, 0.06503461418717112, 0.2571333954633853, 0.03220261264124953, 0.054971219728532014]",0.001247401251150322,0.00027391945445676564,0.0009734817966935564,0.0008704928369266475,0.00013879494541463034,0.000504643891170639
2019-01-09,"[0.08895536243843317, 0.3769993545737253, 0.13117726574707436, 0.061194333852439935, 0.25422044128919324, 0.03277397635280712, 0.054679265746326915]",0.0008324705683906375,0.0008810679496845819,-4.8597381293944385e-05,0.0010494788269430181,0.0009018276522562007,0.0009756532395996094
2019-01-10,"[0.09190228721307439, 0.3868545259762266, 0.12740959082066233, 0.056094865414290464, 0.2541525826046546, 0.035079057104199896, 0.04850709086689154]",0.00036679491956955043,0.0019697350075162,-0.0016029400879466497,0.00010035951107776642,0.0012296918180308447,0.0006650256645543055
2019-01-11,"[0.09849493201897483, 0.3710209406318166, 0.13755995653257871, 0.05752820782356793, 0.2525877284893339, 0.03315658011232018, 0.04965165439140784]",0.00027072056019588497,0.0013855963490714248,-0.0011148757888755397,1.4018209648613277e-05,0.0008200634420754376,0.00041704082586202545
2019-01-12,"[0.10495030574943527, 0.3198226109255609, 0.13641108953949738, 0.06400174553523075, 0.2875953477730522, 0.03669105531342209, 0.050527845163801384]",0.0021365980875793357,0.0013884242544981967,0.000748173833081139,0.0003468169942430372,0.0007335016964762503,0.0005401593453596438
2019-01-13,"[0.1042011981542298, 0.3171217062803502, 0.13703453052877132, 0.07598435862937827, 0.27762628367247, 0.039883868135439884, 0.04814805459936043]",0.0018813419645503987,0.003072168538490129,-0.0011908265739397302,0.0011426268554915713,0.0011537328739477572,0.0011481798647196644
2019-01-14,"[0.10059392799184945, 0.3756135889854957, 0.12617433491933486, 0.06521684526320613, 0.24994421918313672, 0.03348361960876018, 0.04897346404821696]",0.0014279680961269091,0.0009349683619275899,0.0004929997341993192,0.000826743110014226,0.0007079113562379723,0.0007673272331260991
2019-01-15,"[0.09097912061294258, 0.37410438148130293, 0.1277289256505526, 0.05886666411187156, 0.2611843926885718, 0.032380281625631294, 0.054756233829127254]",0.0015565901641554014,0.000563619496068867,0.0009929706680865344,0.0008848886731417983,0.0002857469382117355,0.0005853178056767669
2019-01-16,"[0.0777604479621469, 0.3787195061706845, 0.1312354332040363, 0.055036772128775543, 0.26178710979227443, 0.027779876897437168, 0.06768085384464519]",0.0024535424146439875,0.002722629036076181,-0.00026908662143219344,0.0016538676936516188,0.0017280562778196735,0.0016909619857356463
2019-01-17,"[0.09040030659290282, 0.3657654071809828, 0.13785887759361892, 0.06143237053923008, 0.25812571744022683, 0.030285346381160504, 0.05613197427187806]",0.00046927935417145845,0.001931060988535365,-0.0014617816343639066,0.00023372722526575622,0.0008572266349240353,0.0005454769300948958
2019-01-18,"[0.0993203045929067, 0.3455299158829797, 0.129358636624789, 0.06551824729229996, 0.28017627398420114, 0.03324612721965589, 0.046850494403167596]",0.001369984863153511,0.0006337602684090216,0.0007362245947444894,0.0007996526778843745,0.00032212600097937007,0.0005608893394318723
2019-01-19,"[0.11795308248377603, 0.331491424315472, 0.13579836653124616, 0.0668535313855024, 0.26962572904463067, 0.035978565061501315, 0.04229930117787148]",0.0025536527539177637,0.0015448908729110858,0.001008761881006678,0.0017847663536721642,0.001006385860240646,0.001395576106956405
2019-01-20,"[0.10852087726837374, 0.3131338604249359, 0.12952498787586209, 0.07010705696632527, 0.2855621899231015, 0.04530704724492084, 0.04784398029648074]",0.001559332027132391,0.002747626613497426,-0.001188294586365035,0.000957916027262183,0.0009430770832504829,0.000950496555256333
2019-01-21,"[0.09997274313243508, 0.3578473077836502, 0.12738600080722537, 0.06389019025835418, 0.2646816874845776, 0.035375499890452064, 0.05084657064330557]",0.0008614640735015686,0.000656684663552444,0.00020477940994912455,0.0004939332267391002,0.00010143611430287663,0.0002976846705209884
2019-01-22,"[0.08237559386469284, 0.36852112841145634, 0.1333813047401498, 0.06631792036667003, 0.2544519902504937, 0.03497508917158731, 0.05997697319495]",0.0023010024933869315,0.0008926398745990762,0.0014083626187878554,0.0011009118885700357,0.00036263276736331584,0.0007317723279666757
2019-01-23,"[0.09627542702043136, 0.37684017697377825, 0.13030878792319606, 0.0665048569133586, 0.23871384330343198, 0.03197290551243349, 0.059384002353370116]",0.001595060929143313,0.0009955815731733317,0.0005994793559699813,0.0014333154263953746,0.0006153062458122586,0.0010243108361038167
2019-01-24,"[0.0986332777264821, 0.38294364066819386, 0.1322220695087493, 0.0579517635117144, 0.24545499458291803, 0.03290891186415992, 0.04988534213778232]",0.0005947393456146088,0.0019785960423211557,-0.0013838566967065468,0.00019664953419556424,0.001557709060140804,0.0008771792971681841
2019-01-25,"[0.10709555181846989, 0.372925916889369, 0.12900039741178765, 0.057144971127304156, 0.2521622502368436, 0.033757210106052, 0.04791370241017375]",0.0007520281996217189,0.0015715214341913755,-0.0008194932345696567,0.0004830513161506366,0.0009790591868448564,0.0007310552514977466
2019-01-26,"[0.12344358689948383, 0.3361709025867788, 0.13455260452800083, 0.06663536307353181, 0.2474573933623887, 0.04010613158191045, 0.05163401796790544]",0.0016011403133904848,0.001136112160958116,0.00046502815243236874,0.0003122278085532742,0.0006978527203838845,0.0005050402644685793
2019-01-27,"[0.12368946466043274, 0.3140698548833433, 0.13473553233259583, 0.06684341419583573, 0.26362887110386823, 0.052665235798063266, 0.04436762702586082]",0.002590601458354175,0.0024821822386895064,0.00010841921966466862,0.001283003456902297,0.0010474928933263904,0.0011652481751143438
2019-01-28,"[0.11070017258423118, 0.3504980266493137, 0.12588990661679017, 0.06570595275467282, 0.2570623467375908, 0.04287243045263434, 0.04727116420476677]",0.0007076722094742548,0.0009932843001753632,-0.0002856120907011084,0.000256018278414199,0.0001709227512394799,0.00021347051482683944
2019-01-29,"[0.08967617646259549, 0.37267848478588317, 0.1268396471212446, 0.06234652842583115, 0.26308164193048544, 0.03627268582609294, 0.04910483544786722]",0.002176970459825949,0.00031643103925481695,0.001860539420571132,0.0010724199700081435,0.00012336872006860975,0.0005978943450383766
2019-01-30,"[0.09225543011573958, 0.3574439778466459, 0.13646503059187745, 0.061259692712192094, 0.2591142409577662, 0.03774878723769938, 0.05571284053807936]",0.0013331754987085005,0.000775332482465175,0.0005578430162433255,0.0011037190950691656,0.0006795698444634875,0.0008916444697663266
2019-01-31,"[0.08974167387533812, 0.37283381167155294, 0.1370119904577856, 0.06093768061512096, 0.2552780226670199, 0.03317107963621505, 0.051025741076967536]",0.000543229308219559,0.0019072520602245611,-0.001364022752005002,0.0004871045805239061,0.001115458940587812,0.000801281760555859
2019-02-01,"[0.10190267103857069, 0.3530453504396236, 0.1363737332082744, 0.05983748735404991, 0.2674077347319959, 0.03300157499833806, 0.04843144822914742]",0.0004215594612597559,0.0009454618484942039,-0.000523902387234448,4.3032271572111144e-05,0.0004936252675155206,0.0002683287695438159
2019-02-02,"[0.1110901953260605, 0.32181067017831333, 0.14707554961460212, 0.06660931340784904, 0.2739758587058974, 0.03850853787665388, 0.04092987489062373]",0.0016231209244056694,0.0013277159535284345,0.0002954049708772349,0.0005220593032441059,0.0006599647534892628,0.0005910120283666844
2019-02-03,"[0.11039158726951274, 0.3082444003890419, 0.1328300307891722, 0.07267864877467012, 0.2907458951989789, 0.0390720993207418, 0.04603733825788245]",0.0017263763887685037,0.001904781139285028,-0.00017840475051652442,0.0010607438527550682,0.0003204919275308521,0.0006906178901429601
2019-02-04,"[0.09702051004722911, 0.35172031020998296, 0.13210665691977502, 0.06714003639344765, 0.25991091864639143, 0.03799193099188004, 0.0541096367912938]",0.001085010942224098,0.00033981392548599584,0.0007451970167381022,0.0005336940656252381,7.320383081300837e-05,0.00030344894821912323
2019-02-05,"[0.08928071908429108, 0.36029508672549804, 0.129764415626975, 0.06246273261393693, 0.27031857868495585, 0.032335273050724464, 0.0555431942136186]",0.001601568406139154,0.0002995093198603656,0.0013020590862787883,0.0009077371720128737,0.00012265906765645382,0.0005151981198346638
2019-02-06,"[0.08631941126868244, 0.3540867711585404, 0.1342461670512411, 0.0636995861462288, 0.2773175642907515, 0.036765417155836366, 0.04756508292871921]",0.0008391952605781595,0.0009294545725497694,-9.025931197160998e-05,0.0006713026479214388,0.0006506012237702067,0.0006609519358458227
2019-02-07,"[0.08887415352027679, 0.3652491128291218, 0.13567487674751483, 0.06087441615596644, 0.2602851973958707, 0.035820585742611565, 0.05322165760863778]",0.00023286913057398706,0.0018645086076733352,-0.0016316394770993481,5.8964383511053054e-05,0.0011816236515945861,0.0006202940175528196
2019-02-08,"[0.10531659563481408, 0.35647999721109397, 0.13198010499195906, 0.05890555382010093, 0.2634210011928967, 0.033345922990876374, 0.050550824158258845]",0.0005234923909157705,0.0019518191119820636,-0.0014283267210662932,0.00011007058268841562,0.0006001801529736166,0.0003551253678310161
2019-02-09,"[0.10610254142567008, 0.3124607600945966, 0.14066844297407102, 0.06516989623047287, 0.27194539724639616, 0.04024104960681018, 0.06341191242198316]",0.001691568998610767,0.00046955416324495077,0.0012220148353658162,0.0001827882421483938,0.0001402865601630106,0.0001615374011557022
2019-02-10,"[0.10522754015744384, 0.29193452163464223, 0.13718097473442814, 0.07077247785028838, 0.293484714048065, 0.044127143914982285, 0.05727262766015002]",0.0022327605326170606,0.0013135543702861186,0.000919206162330942,0.0011949052733571577,0.0005371710981594836,0.0008660381857583206
2019-02-11,"[0.09685833129049064, 0.31706828559650085, 0.13200664166910364, 0.06931668685862295, 0.27996329977290946, 0.038410736708188266, 0.0663760181041842]",0.0008739256373539013,0.0007323095927972853,0.000141616044556616,0.0005649004897141324,0.00028087367180335557,0.00042288708075874403
2019-02-12,"[0.09642649084504358, 0.3319370475440296, 0.13493199576740253, 0.07468873913358888, 0.26692748358661866, 0.03800313780795185, 0.05708510531536485]",0.0007200261070360805,0.0003158140574900373,0.00040421204954604325,0.0003448173052787048,9.513670670824275e-05,0.00021997700599347378
2019-02-13,"[0.09536815489505034, 0.3474473776312967, 0.13407337251326198, 0.06842059483611337, 0.27102444297628053, 0.034433456407076825, 0.04923260074092012]",0.0011540138527026402,0.0005232372778345443,0.0006307765748680959,0.0006816789607212365,0.0003106898420030624,0.0004961844013621495
2019-02-14,"[0.10247210445503889, 0.3419253100654913, 0.1320817753671343, 0.06874101442702897, 0.26429443390151053, 0.03642746224541979, 0.05405789953837616]",0.00035694272879803886,0.0007640812919613737,-0.00040713856316333484,0.0002539941754579604,0.00045138487878643337,0.0003526895271221969
2019-02-15,"[0.10448954987094076, 0.3212778903003635, 0.1326980105668756, 0.06905276880371826, 0.2848203460130228, 0.03557970830385725, 0.052081726141221696]",0.0004164971104059021,0.0006345387613949297,-0.00021804165098902759,4.273573163095565e-05,0.0003207726123301968,0.00018175417198057622
2019-02-16,"[0.10833009858766739, 0.3119666215762726, 0.13938075089921315, 0.07070390602746708, 0.27387993039242486, 0.03968374450929312, 0.05605494800766191]",0.0005654671248668069,0.0010792476710224002,-0.0005137805461555932,0.00028012772634700584,0.0003976149788344905,0.0003388713525907482
2019-02-17,"[0.09726270633835896, 0.30219742339334393, 0.1396666482446998, 0.06802452558303325, 0.29457596777910017, 0.04598010955445046, 0.05229261910701342]",0.0008548761292943288,0.0012314038146115961,-0.0003765276853172673,0.0003845057183738511,0.0001032847442233516,0.00024389523129860136
