date,no_Vrede/Irritation,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.14435921522074172, 0.1384384234716328, 0.32253098861328156, 0.11243561105931285, 0.20783392791798222, 0.031935243317408435, 0.042466590399640444]",0.0,0.00755273517136953,0.0,0.0,0.0018459522839733196,0.0
2019-01-02,"[0.08589667239507727, 0.09592197508444676, 0.343868616887412, 0.11972902762105789, 0.2299048780096566, 0.04480534614513103, 0.07987348385721847]",0.0,0.003608643301450999,0.0,0.0,0.00176306279885486,0.0
2019-01-03,"[0.08909675920173722, 0.0965548611904896, 0.3254394728559355, 0.1300056054696016, 0.25807779516308427, 0.042699510200646246, 0.05812599591850557]",0.0,0.00157264679003345,0.0,0.0,0.0005253191315188733,0.0
2019-01-04,"[0.09227735322790304, 0.11415440072514892, 0.326962987675934, 0.12496103005700504, 0.2585255085504537, 0.036782084685562676, 0.046336635077992794]",0.0031552366808589687,0.0006783257757055251,0.0024769109051534437,0.0017699371684440283,0.00011991271476641385,0.0009449249416052211
2019-01-05,"[0.09536305669606694, 0.12537839083756647, 0.29283326190375497, 0.1322508375908951, 0.27330869614138564, 0.03483495290328398, 0.04603080392704688]",0.002902756456279446,0.0015734282934475742,0.0013293281628318717,0.002143242965059452,0.0010501636260642642,0.001596703295561858
2019-01-06,"[0.10089126055799497, 0.12183619511615472, 0.3007980825192634, 0.1270260313949618, 0.2687256873038294, 0.03410792968428074, 0.04661481342351511]",0.0008021797473231909,0.0018969793234034041,-0.001094799576080213,0.0007091491090383805,0.00024362078065093685,0.0004763849448446587
2019-01-07,"[0.08957606870242936, 0.10554793132744683, 0.3509660533076617, 0.12538176987886604, 0.24216765314390187, 0.031258380298817216, 0.05510214334087707]",0.0017597802232580402,0.00021426126096101307,0.001545518962297027,0.0007562143388555983,0.0001010177770047117,0.00042861605793015497
2019-01-08,"[0.08855367228182154, 0.11471875586123705, 0.3479011331574343, 0.12281572680868824, 0.24346930453211532, 0.030491363013166295, 0.05205004434553731]",0.001248676070312299,0.00016838235126251993,0.001080293719049779,0.0008139867756076239,8.899184408307866e-05,0.00045148930984535127
2019-01-09,"[0.08402231323782872, 0.1132561142101719, 0.35609273001811775, 0.12390278686021748, 0.2401225621922818, 0.030956484597211814, 0.05164700888417042]",0.0007871925450418001,0.0008084265637714858,-2.123401872968563e-05,0.0009594644180500345,0.0008595973406380683,0.0009095308793440514
2019-01-10,"[0.08671934687285406, 0.10932753402070798, 0.3650373983586045, 0.1202241732644665, 0.2398193411489899, 0.03310073136633529, 0.04577147496804176]",0.0002714556830912547,0.001677497703668372,-0.0014060420205771174,7.396178379643234e-05,0.000982813274348976,0.0005283875290727041
