date,no_Sorg/trist,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.14084098120283128, 0.13506448734916898, 0.3146704617031402, 0.10969539949021737, 0.0555283222441184, 0.20276872723675876, 0.041431620773765006]",0.0,0.007114671955103229,0.0,0.0,0.0015930205448589072,0.0
2019-01-02,"[0.0845002378275964, 0.09436255772805757, 0.33827829528467507, 0.11778257558468659, 0.06033408312787247, 0.2261672813143095, 0.07857496913280249]",0.0,0.0033658138065135457,0.0,0.0,0.001601230613881566,0.0
2019-01-03,"[0.0875831694773872, 0.09491457205939945, 0.31991085603052105, 0.1277970498463702, 0.05896228111911178, 0.25369352908717363, 0.057138542380036746]",0.0,0.001391966995722877,0.0,0.0,0.0004685785953930801,0.0
2019-01-04,"[0.08974857936665147, 0.11102610700407038, 0.31800287527663723, 0.12153659084814751, 0.06317816348206462, 0.2514408607401232, 0.04506682328230564]",0.00300790858633754,0.0006306004941513046,0.002377308092186235,0.0017634225987867057,0.00011698615932529259,0.0009402043790559992
2019-01-05,"[0.092543765488572, 0.1216717332791286, 0.28417600752087013, 0.1283410046165581, 0.06336886766373061, 0.2652286614753503, 0.044669959955790255]",0.002676632621852521,0.0015196204039063463,0.0011570122179461746,0.0019837802934911373,0.001021258803549598,0.0015025195485203677
2019-01-06,"[0.09781338687601664, 0.11811935763799841, 0.29162168312990894, 0.12315086840468509, 0.06357424585888552, 0.26052771538783226, 0.04519274270467327]",0.0007069876724523222,0.0018767110303584721,-0.00116972335790615,0.0006060403915325293,0.00027841617869543207,0.00044222828511398073
2019-01-07,"[0.08712903291404495, 0.10266457677650975, 0.3413783754223451, 0.12195659524741624, 0.05772242864839598, 0.23555212599902597, 0.05359686499226209]",0.001715652754402458,0.00023535976453838248,0.0014802929898640755,0.0007676186476151625,0.00012847108474820792,0.0004480448661816852
2019-01-08,"[0.08588377701360887, 0.11125998271770886, 0.33741190594315495, 0.11911282980375028, 0.0597220708503817, 0.23612869936718686, 0.050480734304208436]",0.0011926339209553122,0.0002495301157492659,0.0009431038052060464,0.0007697611272423318,0.00012489573836733996,0.0004473284328048359
2019-01-09,"[0.081825758270336, 0.11029531402887825, 0.3467835688576133, 0.12066365583089622, 0.05628972365538467, 0.23384515341281167, 0.050296825944079825]",0.0008016135429399843,0.0007951997027167362,6.413840223248109e-06,0.0009621753660479591,0.0008060407132347679,0.0008841080396413635
2019-01-10,"[0.08503308998046091, 0.1072016611397572, 0.35793924954682943, 0.1178864153348927, 0.051902078640939604, 0.23515605629359787, 0.04488144906352216]",0.00033688131548162767,0.0018739198158640585,-0.001537038500382431,9.648166940576011e-05,0.0011616674012349861,0.0006290745353203731
2019-01-11,"[0.09035671772259878, 0.11304271009686795, 0.34036506970108643, 0.1261939666088877, 0.0527748984526405, 0.23171748652921925, 0.04554915088869936]",0.000262272786990108,0.0012687672756456906,-0.0010064944886555827,8.949783452386237e-06,0.0006653051145896407,0.00033712744902101346
2019-01-12,"[0.0968344420385918, 0.11118425522060556, 0.2950905560412717, 0.12586234646109828, 0.0590524560566452, 0.26535544451854187, 0.04662049966324557]",0.0019438435499746318,0.001326010328775006,0.0006178332211996258,0.000343382212023927,0.0006649057079122566,0.0005041439599680919
2019-01-13,"[0.09550564088816249, 0.12000525785637395, 0.2906579994696831, 0.12559904198594393, 0.06964348776137537, 0.2544584574765923, 0.04413011456186885]",0.0017642881743021614,0.0030148373842116168,-0.0012505492099094554,0.0010656352305355168,0.0010480504041110214,0.001056842817323269
2019-01-14,"[0.09329657006198343, 0.1035973542405849, 0.3483655546670542, 0.117021304494439, 0.06048583741369793, 0.23181258374259583, 0.04542079537964463]",0.0014386825303994183,0.0008305536903453122,0.0006081288400541061,0.0007738695248368987,0.000633423827944451,0.0007036466763906749
2019-01-15,"[0.0843430389543677, 0.10295915095651435, 0.34681694225772136, 0.11841228711779322, 0.054572887832408316, 0.242133417628036, 0.05076227525315905]",0.0015042060455114383,0.0005051840572104871,0.0009990219883009512,0.00088208458821798,0.00026607483454357426,0.0005740797113807771
2019-01-16,"[0.0722158210478505, 0.09710300970396521, 0.3517153103113035, 0.12187782873901751, 0.05111243300755861, 0.2431206554082064, 0.06285494178209822]",0.002286317586874661,0.0025637040170269593,-0.00027738643015229845,0.0016153903862984038,0.0016554626505541643,0.001635426518426284
