date,no_Foragt/Modvilje,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.1700180899581125, 0.1630449174960429, 0.37985869175363135, 0.1324202809384002, 0.06703176309832322, 0.03761151695699458, 0.050014739798495335]",0.0,0.007680174175354962,0.0,0.0,0.002757561706520442,0.0
2019-01-02,"[0.10331243434360383, 0.11537039185220692, 0.41358882613760717, 0.1440043829431624, 0.07376619477151554, 0.05388974046131474, 0.09606802949058947]",0.0,0.0035445682274741186,0.0,0.0,0.001867926780183197,0.0
2019-01-03,"[0.11110659074693509, 0.12040708936032413, 0.40583373230928577, 0.16212126828331247, 0.07479859517413669, 0.053247694388252005, 0.07248502973775386]",0.0,0.0019604085064155365,0.0,0.0,0.000609544468622516,0.0
2019-01-04,"[0.11442659082823833, 0.14155476339637318, 0.4054435752439779, 0.1549552967833107, 0.08055015369667218, 0.04561085040800466, 0.057458769643423224]",0.0030476475997045435,0.0007246749200795708,0.0023229726796249726,0.0014008416834993141,0.00011780665500994605,0.0007593241692546301
2019-01-05,"[0.12040931883131052, 0.15830791461553304, 0.3697433242870885, 0.1669853486339298, 0.08244966206225418, 0.04398404472261634, 0.05812038684726765]",0.003043711206438095,0.0015332194520753068,0.0015104917543627883,0.0020639907000672736,0.0010258368930314322,0.001544913796549353
2019-01-06,"[0.12661276599326907, 0.15289746184591166, 0.37748440273816714, 0.15941040977299462, 0.08229253041132838, 0.042803502461428014, 0.05849892677690128]",0.0009733565416729864,0.0019255832496712342,-0.0009522267079982478,0.0009063416098580845,0.00030623871821897417,0.0006062901640385293
2019-01-07,"[0.10961662769127214, 0.12916182256601888, 0.42948653312196255, 0.1534330205285251, 0.07262031677580223, 0.03825171482832351, 0.0674299644880957]",0.0018028932510963998,0.0003027445765005565,0.0015001486745958434,0.0007348157565320353,0.00017019827569314473,0.00045250701611259
2019-01-08,"[0.10824185140965667, 0.14022423018567193, 0.42525015383476733, 0.15012140444822633, 0.07526948329065301, 0.03727052192759902, 0.06362235490342558]",0.0011968348154129187,0.00032047332954976713,0.0008763614858631516,0.0007430090021914113,0.00017333887047568588,0.0004581739363335486
2019-01-09,"[0.1027571864224597, 0.13850939343262914, 0.4354924975533787, 0.15153000764950939, 0.07068890957558066, 0.03785900597304121, 0.0631629993934011]",0.0008418742128487706,0.0007783966557424688,6.347755710630178e-05,0.0009789210954957886,0.0006857795706175649,0.0008323503330566768
2019-01-10,"[0.10665117264863795, 0.1344556909911679, 0.44893865094064755, 0.14785684534925958, 0.06509721746240169, 0.04070869930470253, 0.056291723303182814]",0.00045116741099578074,0.0020675893352001423,-0.0016164219242043615,0.00012264958860484302,0.0013222867717706391,0.0007224681801877411
2019-01-11,"[0.1131298027415531, 0.14153346665259356, 0.4261490917987211, 0.15799930441770588, 0.06607603731227034, 0.038083150988607845, 0.057029146088548185]",0.0003269450915627892,0.0012541875090985755,-0.0009272424175357863,1.7345636583093856e-05,0.000731693360993255,0.0003745194987881744
2019-01-12,"[0.12600476227871388, 0.14467730027942846, 0.38398336977927056, 0.16377700652575003, 0.0768413648154892, 0.04405177926361372, 0.06066441705773416]",0.0017097121700862224,0.0012659542269639354,0.000443757943122287,0.0004858830485472523,0.000622478928249234,0.0005541809883982432
2019-01-13,"[0.1221148104644887, 0.15344035369631814, 0.3716392684782988, 0.16059264210995855, 0.08904710998196534, 0.046740451014211294, 0.05642536425475914]",0.0020690626819711883,0.003961627557300011,-0.001892564875328823,0.0012889720065908572,0.0016465408937376322,0.0014677564501642446
2019-01-14,"[0.11673130925292236, 0.1296195003482765, 0.43586990677030274, 0.14641535133655426, 0.07567899857271829, 0.038855096261616213, 0.0568298374576096]",0.0014501668183883817,0.0010219212151126855,0.00042824560327569617,0.0008088193809310698,0.0008338504296836208,0.0008213349053073453
2019-01-15,"[0.10704993300289702, 0.1306778881644655, 0.44018725069943737, 0.15029132883791047, 0.06926504022927898, 0.038100027295116044, 0.06442853177089475]",0.0018095375331123695,0.0006000873894660841,0.0012094501436462853,0.0011837037888996257,0.0003102610678220467,0.0007469824283608362
2019-01-16,"[0.09226755259745284, 0.1240650168512937, 0.44937397958786446, 0.1557189104890107, 0.06530451405909857, 0.03296253198069002, 0.08030749443458975]",0.0031207834378548702,0.0033522007810397954,-0.00023141734318492518,0.0022697619289383203,0.002229001680071597,0.0022493818045049587
2019-01-17,"[0.10597974778882399, 0.13027231521721272, 0.42880082008439063, 0.1616172514061929, 0.07201952494626075, 0.03550467351428813, 0.0658056670428309]",0.0005426458202884514,0.002064406387695693,-0.0015217605674072415,0.0002890757021645463,0.0010218099411458603,0.0006554428216552033
2019-01-18,"[0.11925227949088663, 0.13571932233947195, 0.4148721680851798, 0.15531881776408793, 0.07866669730705184, 0.03991808594867246, 0.05625262906464927]",0.0014041229468368353,0.0007100657016297862,0.0006940572452070491,0.0010437687257919372,0.0004546297746720248,0.0007491992502319811
2019-01-19,"[0.1379254626936169, 0.14595526339984874, 0.3876211381246973, 0.15879239560725975, 0.07817349114480278, 0.04207062781799298, 0.049461621211781735]",0.003221794888631353,0.0018373807024491464,0.0013844141861822066,0.0022868689346355916,0.0011821088822292912,0.0017344889084324414
2019-01-20,"[0.13073093906488278, 0.1393441689212122, 0.37722035295685796, 0.15603378560517567, 0.08445528291867153, 0.05457966228873882, 0.057635808244461004]",0.0016479357948020578,0.0023863296732568387,-0.0007383938784547809,0.0009575427248468586,0.0006888260225484124,0.0008231843736976355
