date,no_Overasket/Målløs,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.15284520887537645, 0.1465763700609207, 0.3414906090199885, 0.06026113947387689, 0.2200512109700752, 0.03381252057841564, 0.04496294102134667]",0.0,0.007894006389560951,0.0,0.0,0.001952457995469879,0.0
2019-01-02,"[0.09122395768372227, 0.10187102657243469, 0.36519524308714824, 0.06513489177832504, 0.24416350806199794, 0.047584159977100644, 0.08482721283927122]",0.0,0.003755390391261286,0.0,0.0,0.0018714862528711271,0.0
2019-01-03,"[0.09580547569212727, 0.1038251502032389, 0.3499440808544034, 0.06449765890200983, 0.2775102725699654, 0.04591465417200035, 0.06250270760625481]",0.0,0.0017229492147448372,0.0,0.0,0.0005831223429509978,0.0
2019-01-04,"[0.09816768383090627, 0.12144120660479041, 0.34783398174964086, 0.06910475933426496, 0.27502794020246213, 0.03912999163658381, 0.04929443664135149]",0.003343814065060187,0.000722477228692934,0.002621336836367253,0.001856538974908526,0.00013373293340416943,0.0009951359541563478
2019-01-05,"[0.10220589188776985, 0.1343749949191318, 0.3138456939637144, 0.06998495904393942, 0.29292013089347496, 0.03733455652219499, 0.049333772769774464]",0.0030516941707979983,0.0016588947589945464,0.001392799411803452,0.0022340801679342445,0.0011379437683921407,0.0016860119681631927
2019-01-06,"[0.1074970978080075, 0.12981339821230845, 0.32049278320243996, 0.06986821685078168, 0.2863204536434416, 0.03634114028332677, 0.04966690999969411]",0.0008611385935645245,0.0020944307051889385,-0.0012332921116244141,0.0007920411952108388,0.00030418886618893476,0.0005481150306998867
2019-01-07,"[0.09590977734095633, 0.11301097200461792, 0.37578201984721765, 0.06353961583285847, 0.2592907461631397, 0.033468585280938865, 0.058998283530271194]",0.0019375797424178176,0.00025360048083282737,0.0016839792615849902,0.0008000618126252904,0.0001399505572840217,0.00047000618495465605
2019-01-08,"[0.0943301746242367, 0.12220204983285729, 0.3705952988405593, 0.06559554747277661, 0.2593512095022457, 0.03248036499727874, 0.05544535473004557]",0.0013147105328636004,0.0002648245763785976,0.0010498859564850027,0.0008486481461233656,0.00015130175336638737,0.0004999749497448765
2019-01-09,"[0.08996947600282522, 0.12127246747852821, 0.38129724228684514, 0.061891964690228334, 0.25711861842871686, 0.03314760794810807, 0.055302623164748155]",0.0008902026593014907,0.0008753743693732841,1.4828289928206593e-05,0.0010725691911105237,0.000906722013853364,0.0009896456024819438
2019-01-10,"[0.09297596405210017, 0.11721528401173906, 0.39137407339129765, 0.05675021099501529, 0.25712179860347456, 0.03548887901712269, 0.04907378992925058]",0.00038168005782574166,0.0020055247931300285,-0.0016238447353042868,0.0001065587895795275,0.001297206554398856,0.0007018826719891917
2019-01-11,"[0.09992746810461936, 0.1250164026801439, 0.3764171663572424, 0.05836491314393754, 0.2562614305614593, 0.03363881809668989, 0.0503738010559077]",0.00023131344792328874,0.0014281613765245963,-0.0011968479286013076,7.353126048202519e-06,0.0008379330129367304,0.00042264306949246647
2019-01-12,"[0.10664687491825905, 0.12245078414006987, 0.3249926881093709, 0.06503636270428614, 0.2922444566693504, 0.03728418282050127, 0.051344650638162466]",0.0021406293160737655,0.001445100002471278,0.0006955293136024876,0.00032473939808966377,0.0007017786699981138,0.0005132590340438888
2019-01-13,"[0.10484105196656897, 0.1317354384325275, 0.31906901145853683, 0.07645094521771283, 0.27933106479936703, 0.040128777460182216, 0.04844371066510467]",0.0019950729318718094,0.003530093955024429,-0.0015350210231526197,0.0011643571021167733,0.001357850617149096,0.0012611038596329347
2019-01-14,"[0.10207130070100584, 0.11334089441331131, 0.3811300379067509, 0.06617465245189592, 0.25361502492264903, 0.03397537678338572, 0.04969271282100123]",0.0015348098255931128,0.0009078735362713699,0.0006269362893217429,0.0008995154894824845,0.0007633550105503931,0.0008314352500164388
2019-01-15,"[0.09252135761172199, 0.11294258000592985, 0.38044603014353323, 0.05986454523862246, 0.26561187265534064, 0.03292917754831668, 0.05568443679653519]",0.001691113898297109,0.0005462454756744978,0.0011448684226226112,0.0010101897416317875,0.00034954184152897767,0.0006798657915803826
2019-01-16,"[0.07989171886877157, 0.10742419375721679, 0.38909951151306316, 0.056545228861042456, 0.26896221314431834, 0.028541272246521886, 0.06953586160906582]",0.002734150236867357,0.002939646146882611,-0.00020549591001525367,0.001971284159144513,0.0019261378654927806,0.0019487110123186466
2019-01-17,"[0.09288374932413362, 0.11417446562168662, 0.37581357489229233, 0.06312001718367083, 0.2652168486640118, 0.031117333861820275, 0.05767401045238449]",0.00039615924804790463,0.001978142577610804,-0.0015819833295628992,0.00028724725040350687,0.0008997814128909125,0.0005935143316472098
2019-01-18,"[0.100968474726535, 0.11491078431404454, 0.3512638097727302, 0.06660548941099313, 0.2848256572983659, 0.03379782985656219, 0.04762795462076882]",0.001395226273651319,0.0006804201156904321,0.0007148061579608868,0.0008680266769264073,0.0003349533832963172,0.0006014900301113623
2019-01-19,"[0.11926237386428641, 0.12620563927141165, 0.3351710133133183, 0.06759561247873502, 0.2726186024445312, 0.03637793084428732, 0.04276882778343023]",0.002827056094515482,0.0016657394076014262,0.0011613166869140557,0.0019486353076635546,0.0010395504154277753,0.001494092861545665
2019-01-20,"[0.11004546858289044, 0.11729583274558868, 0.3175330246770302, 0.0710919790645208, 0.2895740044740885, 0.045943558232066486, 0.04851613222381482]",0.0015851176359238009,0.0027914163887136994,-0.0012062987527898985,0.0009352704353851769,0.0009475028712642971,0.000941386653324737
