date,no_Frygt/Bekymret,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.14230310053146963, 0.13646663888119678, 0.3179371654727278, 0.11083418567650763, 0.05610478111671784, 0.20487374008745238, 0.031480388233927986]",0.0,0.0063374208985837845,0.0,0.0,0.0008614783673678189,0.0
2019-01-02,"[0.08751948773669627, 0.09773419491118776, 0.350365204606428, 0.12199102564080554, 0.06248986019646625, 0.23424838926270136, 0.04565183764571488]",0.0,0.0016901045532679206,0.0,0.0,0.0012136418522080933,0.0
2019-01-03,"[0.08893176799480057, 0.0963760589172515, 0.324836817362151, 0.12976485842170515, 0.05987017752632132, 0.25759988140629886, 0.04262043837147167]",0.0,0.0012456809845457638,0.0,0.0,0.0005190728139814242,0.0
2019-01-04,"[0.09059041040873407, 0.11206751873467591, 0.320985704573419, 0.12267658967204957, 0.06377076717090623, 0.2537993462260523, 0.03610966321416299]",0.0022477977483867967,0.00061768655795556,0.0016301111904312368,0.002068843683079848,0.00011123364105643698,0.0010900386620681425
2019-01-05,"[0.0935602848372203, 0.12300820008927889, 0.28729745399045714, 0.12975072804556423, 0.06406492406193358, 0.2681419864819827, 0.034176422493563174]",0.0019640048785387323,0.0014746895416315306,0.0004893153369072017,0.0010818313725670977,0.0009772816876747843,0.0010295565301209411
2019-01-06,"[0.09901396468643232, 0.11956917431739106, 0.29520109626530755, 0.12466244268569324, 0.06435456674674964, 0.2637254759815779, 0.03347327931684834]",0.0006962361895259572,0.0018261130924319667,-0.0011298769029060094,0.0005716161372756566,0.00027131981393002305,0.00042146797560283986
2019-01-07,"[0.08919774263955439, 0.10510214782877196, 0.3494837421605656, 0.12485221782281247, 0.059092935648545564, 0.24114485390637386, 0.031126359993376207]",0.0015950004294311747,0.00015875018550882798,0.0014362502439223468,0.000746919322695337,5.049070814956083e-05,0.0003987050154224489
2019-01-08,"[0.08771784187790667, 0.11363596142056208, 0.34461740322104056, 0.12165650759281078, 0.060997447360108696, 0.24117127394903218, 0.03020356457853897]",0.0011832449390493688,0.00021287949520828767,0.0009703654438410811,0.0007769693302585881,0.0001018014120453033,0.0004393853711519457
2019-01-09,"[0.08350842138257143, 0.11256342446612791, 0.3539148186202886, 0.12314498062330853, 0.057447264307558255, 0.2386539400582441, 0.030767150541901107]",0.0007918904376804969,0.0007702127833890806,2.1677654291416297e-05,0.0009631580617476842,0.0008551470068024815,0.0009091525342750828
2019-01-10,"[0.08610286304355019, 0.10855032963377627, 0.3624423643633741, 0.1193695051727241, 0.05255504145413594, 0.2381144765356825, 0.03286541979675675]",0.00023681004099211363,0.0019187972650787193,-0.0016819872240866056,8.204751988553247e-05,0.001185212225396251,0.0006336298726408918
