date,no_neutral,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.5666514579971748, 0.43334854200282524]",0.0,0.005671764471344886,0.0,0.0,0.0011727231278287726,0.0
2019-01-02,"[0.4679873273569949, 0.5320126726430051]",0.0,0.00012061532415252798,0.0,0.0,0.00010191349398402831,0.0
2019-01-03,"[0.4457333286728335, 0.5542666713271664]",0.0,0.00016781296206372105,0.0,0.0,0.00010225873195832247,0.0
2019-01-04,"[0.4687663702970154, 0.5312336297029845]",0.0016906812233022535,4.902630896958705e-05,0.0016416549143326664,0.002204497918505883,5.343304703967417e-05,0.0011289654827727786
2019-01-05,"[0.4530648637377332, 0.5469351362622668]",8.774279152361534e-05,0.000559749178812434,-0.0004720063872888187,4.3121384599047673e-05,0.0005637737458333733,0.0003034475652162105
2019-01-06,"[0.4661002876034374, 0.5338997123965626]",9.937933087846456e-05,0.00035302727513997196,-0.0002536479442615074,8.445604484857859e-05,0.00030011955929967895,0.00019228780207412876
2019-01-07,"[0.4749979515161028, 0.5250020484838972]",0.00010033395308363875,0.0002306397272905518,-0.00013030577420691304,0.00010037334434242241,0.00015660366690174377,0.00012848850562208308
2019-01-08,"[0.5050058780401603, 0.49499412195983966]",0.0008533521150949694,8.737108201650051e-05,0.0007659810330784689,0.00037418114885646585,3.299621065245686e-05,0.00020358867975446137
2019-01-09,"[0.4889546427030544, 0.5110453572969456]",0.00016268941693310971,8.115529561156803e-05,8.153412132154169e-05,7.117675121008891e-05,9.799597306287101e-05,8.458636213647996e-05
2019-01-10,"[0.49195347402424094, 0.5080465259757592]",7.786431639485289e-05,0.0002417264860754442,-0.0001638621696805913,5.7149212285639586e-05,0.0001775526098059516,0.00011735091104579559
2019-01-11,"[0.49519819423422845, 0.5048018057657716]",2.4285692548308318e-05,0.0003056013535621021,-0.00028131566101379375,1.7810711420566474e-05,0.00021735632569854155,0.00011758351855955401
2019-01-12,"[0.46802383288160904, 0.531976167118391]",0.00029201381618663286,9.15622731706486e-05,0.00020045154301598426,6.146916725986373e-05,0.00010733833338104419,8.440375032045396e-05
2019-01-13,"[0.46255434503108417, 0.5374456549689157]",0.000327334213482336,0.00015006785130490045,0.00017726636217743556,0.00022462971398845135,0.0001636224685588436,0.00019412609127364747
2019-01-14,"[0.49006527227234303, 0.5099347277276569]",0.00021195386552799711,0.00021368329584562783,-1.729430317630714e-06,0.0001511203266274024,0.0002084837527260507,0.00017980203967672654
2019-01-15,"[0.4737232062927867, 0.5262767937072133]",7.087901779950518e-05,6.512211531964156e-05,5.756902479863617e-06,4.828871579674299e-05,4.721233311179451e-05,4.7750524454268745e-05
2019-01-16,"[0.4585048107498802, 0.5414951892501197]",0.00020800857031901196,0.0002683573405770489,-6.034877025803696e-05,0.0002107420188930818,9.368564469317474e-05,0.00015221383179312827
2019-01-17,"[0.48609128352052255, 0.5139087164794776]",0.00015541288831617288,0.000353013776397986,-0.00019760088808181312,0.0001624684201187956,0.0004562436185635866,0.0003093560193411911
2019-01-18,"[0.47591918490999924, 0.5240808150900008]",6.8840565972793e-05,0.0002044775339279008,-0.0001356369679551078,6.236008212367691e-05,0.0002762054990018,0.00016928279056273847
2019-01-19,"[0.4817452562432452, 0.5182547437567547]",9.916916160261837e-05,0.0003579765953989724,-0.00025880743379635404,0.00012157828046676495,0.0003324150748968574,0.00022699667768181117
2019-01-20,"[0.4415443643475048, 0.5584556356524951]",0.0008019428185052137,0.0005428690410040673,0.00025907377750114644,0.00016462557894406552,0.0003015682697086061,0.00023309692432633581
2019-01-21,"[0.47422265566802324, 0.5257773443319768]",0.00018921422949577213,7.125474432678675e-05,0.00011795948516898538,0.00024676733516801336,2.0302790652686378e-05,0.00013353506291034986
2019-01-22,"[0.46021788683610315, 0.5397821131638968]",0.00016902284067849284,0.000610429105793568,-0.00044140626511507517,5.493998243765036e-05,0.00043016039983903137,0.00024255019113834087
2019-01-23,"[0.4841910257255023, 0.5158089742744976]",0.00041758093629772297,0.00010820102974835371,0.00030937990654936924,0.0003647504963290818,0.00015087443822221823,0.00025781246727565
2019-01-24,"[0.48565881666742033, 0.5143411833325797]",0.00013039490100091413,0.00024964698886744687,-0.00011925208786653274,0.00013982422738243315,0.00019081226494163496,0.00016531824616203405
2019-01-25,"[0.5095493391707382, 0.49045066082926175]",0.0006084624559245045,0.00016650770163389384,0.0004419547542906106,0.00043154775206269874,0.00010632360716593394,0.00026893567961431636
2019-01-26,"[0.4861679319582146, 0.5138320680417855]",9.182017675951311e-05,0.0001616209865023349,-6.980080974282177e-05,0.00012838083200689932,0.0002028173134927671,0.00016559907274983323
2019-01-27,"[0.5160997760507829, 0.48390022394921706]",0.00031096475825733447,0.0006333843651215735,-0.000322419606864239,0.0002048010198598211,0.00019880158781783805,0.00020180130383882957
2019-01-28,"[0.4893174110136352, 0.5106825889863649]",0.00018944774854532583,6.013064416803695e-05,0.00012931710437728887,0.00014481416998074384,2.92289969844521e-05,8.702158348259796e-05
2019-01-29,"[0.4781888765258406, 0.5218111234741594]",0.000270892078175835,1.2401493146873047e-05,0.00025849058502896196,0.00031696706261245415,8.870629036579582e-06,0.00016291884582451686
2019-01-30,"[0.4755447469922064, 0.5244552530077936]",0.00030703496289762077,9.705775676661277e-05,0.000209977206131008,0.00036649358455218684,0.00011371013027933775,0.0002401018574157623
2019-01-31,"[0.48247331594547493, 0.5175266840545251]",1.8892408403844117e-05,0.00030971082332147316,-0.00029081841491762904,6.863348845722774e-06,0.00017401951319756276,9.044143102164277e-05
2019-02-01,"[0.47119662181586464, 0.5288033781841354]",3.256962310175937e-05,0.00010996208777774326,-7.739246467598388e-05,2.286522777901623e-05,7.700557083864363e-05,4.993539930882993e-05
2019-02-02,"[0.45290378322305586, 0.5470962167769442]",0.0002883395206141976,4.738887270641867e-05,0.00024095064790777894,0.00011265730066966571,6.659974129938303e-05,8.962852098452436e-05
2019-02-03,"[0.4533351280421626, 0.5466648719578373]",0.0001956226363933745,5.658267209916436e-05,0.00013903996429421014,0.00017578170504063873,5.6840781102155766e-05,0.00011631124307139726
2019-02-04,"[0.46967992949590026, 0.5303200705040997]",9.23692893813069e-05,0.0001450062102386088,-5.2636920857301886e-05,6.456566856500458e-05,0.00012510759908412105,9.483663382456282e-05
2019-02-05,"[0.4538973602080785, 0.5461026397919214]",4.197970563993901e-05,0.0002852253573500882,-0.0002432456517101492,5.890361653075646e-05,0.00026395724876832717,0.00016143043264954182
2019-02-06,"[0.44498703370643233, 0.5550129662935677]",0.00012748518166705173,0.0004885450995596595,-0.0003610599178926078,0.00012704958927256115,0.0003895288910609307,0.00025828924016674595
2019-02-07,"[0.47195581428463396, 0.528044185715366]",0.00017759757923151352,0.0008523973851891397,-0.0006747998059576262,0.00014876438673902707,0.000585212987844295,0.00036698868729166103
2019-02-08,"[0.4899363833545645, 0.5100636166454355]",0.0006094553483093337,0.0024068894335850795,-0.0017974340852757458,0.00034949799788942354,0.0005106516958365472,0.00043007484686298535
2019-02-09,"[0.432082927280916, 0.5679170727190839]",0.000857263980859948,8.939061532723626e-05,0.0007678733655327117,0.0006544166633969693,6.319124054703639e-05,0.00035880395197200284
2019-02-10,"[0.4158871073415836, 0.5841128926584165]",0.0014986183454765148,0.0002579429501292803,0.0012406753953472344,0.0010776159665661451,0.00027759079210480723,0.0006776033793354762
2019-02-11,"[0.4159098024276333, 0.5840901975723667]",0.0009670014330537129,0.0004460730294337358,0.0005209284036199771,0.0012740483909242665,0.00022550801478325174,0.0007497782028537592
2019-02-12,"[0.43186152843194886, 0.5681384715680512]",8.696777794418919e-05,0.00014671179823638704,-5.974402029219784e-05,6.147803580544706e-05,4.1573235207897846e-05,5.152563550667245e-05
2019-02-13,"[0.4514324378306807, 0.5485675621693193]",0.0004932499023358854,6.995736466272656e-06,0.0004862541658696128,0.00021148314225528567,8.153069708191918e-06,0.00010981810598173879
2019-02-14,"[0.449232135117742, 0.5507678648822579]",0.00024035775965579686,0.00010312152720871129,0.00013723623244708556,0.00023804847578906343,0.00013947149166605694,0.00018875998372756017
2019-02-15,"[0.4453910062369817, 0.5546089937630183]",3.961081114360613e-05,8.279460124150945e-05,-4.3183790097903325e-05,3.796573578691601e-05,9.217729552928761e-05,6.507151565810182e-05
2019-02-16,"[0.45099524345744646, 0.5490047565425535]",5.846879716880155e-06,0.00011928720575731147,-0.00011344032604043132,7.1158887802889664e-06,0.00015991017804668512,8.351303341348705e-05
2019-02-17,"[0.42491972837063297, 0.5750802716293669]",0.0002862656179928467,0.0002768003614822097,9.46525651063701e-06,5.487462870947563e-05,5.9866667713331274e-05,5.737064821140345e-05
2019-02-18,"[0.451582365299028, 0.5484176347009719]",0.00012684854254123157,1.4441117225354082e-05,0.0001124074253158775,0.00016575506292151548,1.8984797783000595e-06,8.382677134990777e-05
