date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.4014444265204065, 0.2915494837877077, 0.30700592837554447]",0.0,0.005372578688322749,0.0,0.0,0.0005579821495173023,0.0
2019-01-02,"[0.30319224786514715, 0.3521435192533571, 0.34467197866734384]",0.0,0.0004140365984425586,0.0,0.0,0.000298287628302782,0.0
2019-01-03,"[0.2973037673797662, 0.3330046563120706, 0.369695418579662]",0.0,0.00018768618432101215,0.0,0.0,1.5290109184521075e-05,0.0
2019-01-04,"[0.3091267040646839, 0.34055388761791344, 0.3503205678648657]",0.0016517524952696292,0.00020011140251713052,0.0014516410927524986,0.0021361951080542474,0.00015929301303249085,0.0011477440605433692
2019-01-05,"[0.3098030697642115, 0.31619793728513385, 0.37399100600757024]",0.0004664295464327643,0.0007766874497193645,-0.0003102579032866002,0.0002557513540261902,0.0005632671091301539,0.00040950923157817207
2019-01-06,"[0.3145156975872921, 0.32521144912333283, 0.3602654728008392]",0.00013804645019191444,0.0006310456349018252,-0.0004929991847099108,2.8620644416662095e-05,0.00021699826224347643,0.00012280945333006927
2019-01-07,"[0.3095510493111884, 0.34830040556199304, 0.3421381807647741]",0.0003710032047351764,0.0001698815504578865,0.0002011216542772899,0.000286095765409001,8.759754187136085e-05,0.00018684665364018091
2019-01-08,"[0.329110089040199, 0.34830512635851774, 0.32258547204399635]",0.0008591726294501165,8.442736156472114e-05,0.0007747452678853954,0.0004873837822455382,3.530281492533053e-05,0.00026134329858543435
2019-01-09,"[0.31393897841390583, 0.3579375104260501, 0.328122576985954]",0.0003385177323953883,0.00020754726402937736,0.00013097046836601093,0.000303496300628139,0.00021159278156807987,0.0002575445410981094
2019-01-10,"[0.32249049300136257, 0.34446426359469834, 0.3330399789421528]",8.949720135934971e-05,0.0002372039421932727,-0.00014770674083392296,1.81608337848426e-05,0.00013023680825785636,7.419882102134948e-05
2019-01-11,"[0.31943360818879724, 0.3549480617950905, 0.32562853442011813]",4.5519949645141145e-05,0.0003994520806246127,-0.0003539321309794715,2.0158336918078342e-05,0.00026941714100273524,0.0001447877389604068
2019-01-12,"[0.31242797017797014, 0.33246143979477316, 0.3551191678691679]",0.0004319236249776505,0.00024047140404225963,0.00019145222093539085,0.00011464330722538515,0.00025422098760519173,0.00018443214741528844
2019-01-13,"[0.3091221392244119, 0.33170426732358554, 0.35917152733630003]",0.0003459780262974812,0.00033287545258293716,1.310257371454405e-05,0.0002620687812805644,0.00026522258057941995,0.00026364568092999215
2019-01-14,"[0.3133704095112285, 0.3605520805812417, 0.32607585865257593]",0.0004426549644681102,0.0002419691847443178,0.0002006857797237924,0.0002985000245783918,0.00013658046798533673,0.00021754024628186427
2019-01-15,"[0.3097141671114274, 0.3462179327521793, 0.3440730297100161]",0.0001580230605983029,7.005194795700147e-05,8.797111264130144e-05,3.37224211030646e-05,1.3946250760797935e-05,2.383433593193127e-05
2019-01-16,"[0.2995036942313157, 0.34677223643080424, 0.35371452117078717]",0.00021162822003894404,0.00021550773324322748,-3.87951320428344e-06,0.0001536919948426753,2.5040652016903868e-05,8.936632342978958e-05
2019-01-17,"[0.31724624151309405, 0.34734320441319105, 0.3354012184772065]",0.00013353916207034058,0.0002774979351429404,-0.0001439587730725998,8.441765983709768e-05,0.0002734068163319335,0.00017891223808451557
2019-01-18,"[0.31691094139451653, 0.33411244967086345, 0.34898140218572254]",0.00013485927341886153,0.00019639682118475815,-6.153754776589662e-05,4.354720196738354e-05,0.00017904419379681895,0.00011129569788210125
2019-01-19,"[0.3181912611095885, 0.3395029951842137, 0.3423056654007283]",9.174235012463015e-05,0.0002543600115381365,-0.00016261766141350637,8.192618280203488e-05,0.00020870334555052585,0.00014531476417628037
2019-01-20,"[0.2898046964717063, 0.34366538629073773, 0.36653862907377344]",0.0005499048247498079,0.00036520150144540766,0.00018470332330440022,8.837808550472205e-05,0.0001986497957575855,0.00014351394063115376
2019-01-21,"[0.3089181500368838, 0.348585650598159, 0.34250190833573874]",0.00018224783369620467,6.269551286202417e-05,0.00011955232083418051,0.00013107691255737788,2.915873961156241e-05,8.011782608447015e-05
2019-01-22,"[0.30358969709580563, 0.34034321215183855, 0.35607544365506366]",0.00012600844443702892,0.0004182446020740303,-0.0002922361576370014,2.1293391904928554e-05,0.00027817499984934536,0.00014973419587713697
2019-01-23,"[0.31571453342752553, 0.34795539785498686, 0.33633087149187596]",0.00028746481642226977,0.0001223955550992325,0.00016506926132303727,0.0002397423297617134,8.60048734424215e-05,0.00016287360160206744
2019-01-24,"[0.3184747263059118, 0.34423109164842036, 0.3372834219580857]",9.450622888667179e-05,0.00043113062638724334,-0.00033662439750057157,9.193950419222023e-05,0.00042044613387745854,0.0002561928190348394
2019-01-25,"[0.3339042105577273, 0.34470445525349885, 0.32138897675390166]",0.00040496409742252795,0.00042783953211517935,-2.2875434692651395e-05,0.0002878060224315413,0.0002236099619939382,0.00025570799221273974
2019-01-26,"[0.3247526971648406, 0.3320176465668646, 0.34323191435978917]",0.00016567609318631098,0.00023127716279342685,-6.560106960711587e-05,7.81513952417731e-05,0.00027044248720485905,0.00017429694122331608
2019-01-27,"[0.35668873505349274, 0.30887750157331656, 0.33443486469477657]",0.0007928519549539395,0.0009632789573681676,-0.00017042700241422812,0.00017126953862592166,0.0003489538202167574,0.00026011167942133955
2019-01-28,"[0.3281929829729571, 0.32928810463677605, 0.34252294821186596]",0.000253366854171037,0.0002186444659946023,3.4722388176434705e-05,0.00019476822122415152,7.942832319939509e-05,0.0001370982722117733
