date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.14579328851783585, 0.12960305757345764, 0.30458375799631354, 0.09357806570530194, 0.060984766345007047, 0.19143760164805376, 0.03627198308576384, 0.03751843218041851]",0.0,0.006014185638325328,0.0,0.0,0.000353962171355378,0.0
2019-01-02,"[0.08907176251645407, 0.10464972084789613, 0.30983182787889796, 0.10749198856157233, 0.06403059325495891, 0.21831927738187099, 0.04645844491852389, 0.05992506014252643]",0.0,0.0018750132476705247,0.0,0.0,0.0011055203474751277,0.0
2019-01-03,"[0.08783947459684412, 0.1068106467834229, 0.3079451187792613, 0.1146491243280735, 0.06366160915554013, 0.23084393965666725, 0.04066247615744754, 0.047363143748916245]",0.0,0.00108813633072391,0.0,0.0,0.0005040451010059379,0.0
2019-01-04,"[0.08889385312331158, 0.11508794314450768, 0.2984637379992519, 0.10958339221146252, 0.07091629608079465, 0.23921960849507498, 0.03661751381904326, 0.040980050704459495]",0.0025763048480248953,0.0005833516033550021,0.0019929532446698933,0.0021876006198990484,0.00012055869227456083,0.0011540796560868046
2019-01-05,"[0.09640353072625699, 0.12730145251396646, 0.271533720670391, 0.1102425474860335, 0.0705174972067039, 0.24869935195530724, 0.03657233519553072, 0.03850243575418994]",0.0018680010463543392,0.0013757148707276344,0.0004922861756267048,0.0011082959518162266,0.0008791563421361804,0.0009937261469762035
2019-01-06,"[0.10156462039352615, 0.12173179823526635, 0.28397989902326237, 0.1089366772047374, 0.065672250271316, 0.24286835275798616, 0.036384891237672815, 0.03865021469353088]",0.000585400574682647,0.0012966349622292863,-0.0007112343875466394,0.00040042610032784483,0.00023701968776457832,0.0003187228940462116
2019-01-07,"[0.09076733619261962, 0.10945607032145735, 0.3252470168584653, 0.10875557348507366, 0.06397571022124081, 0.2195740371141025, 0.03567399889591914, 0.04630939742664231]",0.0015029175434479655,0.00012821147282531255,0.001374706070622653,0.0006511853200298474,2.0747064469475836e-05,0.00033596619224966165
2019-01-08,"[0.0916266374608083, 0.11031074174290253, 0.317604818966628, 0.10821938753597043, 0.06526641755787484, 0.22953304986470816, 0.033098312073186434, 0.04410471159214877]",0.0009019341238937923,0.00020381489397705422,0.0006981192299167381,0.0006144222933753955,7.207091929793468e-05,0.0003432466063366651
2019-01-09,"[0.08719514329468386, 0.11270426602493983, 0.32800765696784073, 0.10818875519579961, 0.06388851454823888, 0.22406799387442566, 0.03304104134762634, 0.04265639903740976]",0.0005495071789454069,0.0005614373972623872,-1.1930218316980328e-05,0.0006291598365147934,0.0005395388517522724,0.0005843493441335329
2019-01-10,"[0.09045441854562374, 0.11235767164431658, 0.33215457506662716, 0.10396429629002919, 0.06142692161258935, 0.22135898303650747, 0.037028723719277463, 0.04100499175092009]",0.00017972357144440236,0.0010760241748139709,-0.0008963006033695685,5.7567485248730215e-05,0.0006219044863932739,0.00033973598582100206
2019-01-11,"[0.09484675818373811, 0.11989989440337907, 0.31797131995776134, 0.10829026399155227, 0.0604126293558606, 0.22308815205913407, 0.0352398732840549, 0.04000354804646251]",0.00023139386818566776,0.0006527335781822231,-0.0004213397099965553,1.94632594036568e-05,0.00030679130105150236,0.00016312728022757958
2019-01-12,"[0.1004239655261928, 0.11865604070401328, 0.28694688749286124, 0.11085841856601421, 0.06481657234826851, 0.24436664762992572, 0.03646601941747572, 0.037245470120969834]",0.0011625372648731461,0.0009145248741899375,0.0002480123906832087,0.0002882693966533951,0.0005106630072481745,0.0003994662019507848
2019-01-13,"[0.10147781762295081, 0.11980332991803277, 0.28066039959016387, 0.11067884221311476, 0.06900988729508195, 0.2363730020491803, 0.03979912909836065, 0.04198263319672131]",0.000924511030409454,0.0018339789250371053,-0.0009094678946276513,0.0005810841999779426,0.0005142437352208405,0.0005476639675993916
2019-01-14,"[0.09091949989032681, 0.1104809826716385, 0.32747431454266285, 0.10638631278789207, 0.06637793375740295, 0.2211524018425093, 0.03547764860715069, 0.041491291949989025]",0.0009461224216293923,0.0002646606326436488,0.0006814617889857435,0.0005050765949942748,0.0002653744960386331,0.00038522554551645395
