date,no_negative,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.5792899772263785, 0.4207100227736214]",0.0,0.006008712675084584,0.0,0.0,0.0006074148708153374,0.0
2019-01-02,"[0.46265176277235137, 0.5373482372276486]",0.0,0.00021621028017608483,0.0,0.0,0.0002161636467301128,0.0
2019-01-03,"[0.47167982562949307, 0.5283201743705069]",0.0,0.00015926506334640612,0.0,0.0,0.00011035083789289626,0.0
2019-01-04,"[0.4758133581674059, 0.524186641832594]",0.0018250984967563486,0.00010715156933373148,0.0017179469274226171,0.002513745345998338,6.989582158933767e-05,0.0012918205837938379
2019-01-05,"[0.4948922865547257, 0.5051077134452743]",0.00032422011093101444,0.00011434660136329685,0.00020987350956771757,0.00014349550385151676,0.0001297623596826489,0.00013662893176708284
2019-01-06,"[0.4916403801284371, 0.5083596198715629]",0.00011005579633773707,0.00017915070637568946,-6.909491003795238e-05,8.002149458889203e-05,0.00011876436823416066,9.939293141152634e-05
2019-01-07,"[0.4705485516800486, 0.5294514483199514]",0.00017778645754282888,6.895246726142778e-05,0.0001088339902814011,0.00011975115005105687,4.684453447575183e-05,8.329784226340435e-05
2019-01-08,"[0.485832147786184, 0.514167852213816]",5.831890400817061e-05,8.32215909865664e-05,-2.4902686978395794e-05,4.2666805453075846e-05,6.98028251165324e-05,5.623481528480412e-05
2019-01-09,"[0.4672569789663938, 0.5327430210336062]",0.00015871840855161842,0.00010058789600805602,5.81305125435624e-05,0.00011978046273890242,5.6905486057226204e-05,8.834297439806431e-05
2019-01-10,"[0.4835267907035528, 0.5164732092964471]",7.324608389345885e-05,1.6593316758243843e-05,5.665276713521501e-05,5.36632998353489e-05,2.2688327638271586e-05,3.817581373681024e-05
2019-01-11,"[0.47366887684896464, 0.5263311231510354]",4.780117160294997e-05,4.4730508992468027e-05,3.070662610481941e-06,2.1836884624688578e-05,9.672584976098817e-06,1.5754734800393697e-05
2019-01-12,"[0.4844675154321035, 0.5155324845678965]",6.910213294972506e-05,8.932682275458314e-05,-2.022468980485808e-05,6.089678659221284e-05,7.731679717259523e-05,6.910679188240404e-05
2019-01-13,"[0.4823804638288714, 0.5176195361711287]",1.3619295747081553e-05,0.00012795041035270762,-0.00011433111460562607,1.7264953818677977e-05,5.482075613437694e-05,3.604285497652746e-05
2019-01-14,"[0.464994734733115, 0.535005265266885]",0.0001264714643194418,3.459026327031115e-05,9.188120104913064e-05,6.466891250074505e-05,3.1407174069066675e-05,4.803804328490586e-05
2019-01-15,"[0.4721741277425343, 0.5278258722574658]",5.125850249543067e-05,5.294413333781924e-05,-1.685630842388569e-06,2.0355269981314303e-05,3.954042281751313e-05,2.9947846399413715e-05
2019-01-16,"[0.46343006140499365, 0.5365699385950062]",7.323936198711445e-05,0.00019295453633932677,-0.00011971517435221233,7.706867255123465e-05,7.271803777165643e-05,7.489335516144553e-05
