date,no_Forventning/Interrese,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-01,"[0.19657172328889502, 0.1885094722190389, 0.15310184245025926, 0.07750086588184042, 0.2830042634013139, 0.043485729698336396, 0.057826103060316124]",0.0,0.010310883106707415,0.0,0.0,0.002415505755234276,0.0
2019-01-02,"[0.11972286792849857, 0.13369614484779624, 0.16687843849356113, 0.08548342172294213, 0.32044164900205313, 0.06244973628724188, 0.11132774171790696]",0.0,0.004073671991987529,0.0,0.0,0.0016463550120065988,0.0
2019-01-03,"[0.12129569988619165, 0.13144910735750043, 0.17698871480676664, 0.08165805368662256, 0.35134529100561435, 0.05813081217530952, 0.07913232108199489]",0.0,0.0017026942013730125,0.0,0.0,0.0003417099877294417,0.0
2019-01-04,"[0.12503786092726973, 0.15468174565924697, 0.16932496816425255, 0.08801991602383004, 0.3503077998395457, 0.049840540811456016, 0.06278716857439902]",0.004309458522962479,0.00030747981030648325,0.004001978712655996,0.0024339821628879643,0.00021453367573885513,0.0013242579193134098
2019-01-05,"[0.12345273997448022, 0.16230924656515563, 0.17120600817726672, 0.08453362904423674, 0.3538131910456922, 0.04509576907227792, 0.05958941612089046]",0.0026425057896279545,0.00045248656799071196,0.0021900192216372425,0.002361797276501245,0.00029872239875297266,0.001330259837627109
2019-01-06,"[0.13192251847837497, 0.15930951415069958, 0.16609559521068504, 0.0857436276559809, 0.35137800095752886, 0.044598550549848154, 0.060952192996882544]",0.0007311973797175794,0.0005780840576313238,0.00015311332208625553,0.000847828076305694,0.0001420255259064331,0.0004949268011060636
2019-01-07,"[0.12645244386490004, 0.14899954926106646, 0.17699851586430615, 0.08377393762200694, 0.34186241937902023, 0.04412672533302058, 0.07778640867567971]",0.0007327213800346551,0.0002751863628552087,0.0004575350171794464,9.242341963004103e-05,0.00011344268170249257,0.0001029330506662668
2019-01-08,"[0.12408078973462265, 0.16074312287507161, 0.1720885422544132, 0.08628360295016164, 0.3411474962477163, 0.042724285794925744, 0.07293216014308866]",0.00033691281525984523,0.00025593148245653207,8.098133280331316e-05,0.00010512922715775347,0.00013872687839208453,0.000121928052774919
2019-01-09,"[0.11973970233599732, 0.161400619438696, 0.17657312975005582, 0.08237155264486902, 0.34219724514935096, 0.04411590336184865, 0.07360184731918226]",0.0002806403569885826,0.0003815833320679731,-0.00010094297507939052,0.00021681670003234757,0.0001401214172599636,0.0001784690586461556
2019-01-10,"[0.12606499804566632, 0.1589308021757299, 0.17477138279014362, 0.07694693258753203, 0.3486283726004888, 0.048118946757351774, 0.0665385650430873]",0.0003319452409488531,0.00031421286039628023,1.7732380552572865e-05,7.974008195157152e-05,0.00017634094412474793,0.00012804051303815973
2019-01-11,"[0.1309419111074914, 0.1638176869405242, 0.18287604479760705, 0.07647960479383584, 0.33579717466399017, 0.044079282829084535, 0.06600829486746702]",0.00030283580132166023,0.0005731496926623001,-0.0002703138913406399,8.094047338634283e-05,0.00012828442932435698,0.0001046124513553499
2019-01-12,"[0.13107643593633914, 0.15050054092060752, 0.17036900761126522, 0.07993421875769707, 0.35918878852972275, 0.04582485707767769, 0.06310615116669074]",0.0004172550519158818,0.0003823058916442534,3.494916027162843e-05,0.00016662830104962812,0.00010715411780837463,0.00013689120942900136
2019-01-13,"[0.1280412276737601, 0.1608870470931604, 0.1683864469257928, 0.09336870146645172, 0.3411439678775293, 0.04900883608729202, 0.05916377287601362]",0.0006171924794616002,0.0016387817670486485,-0.0010215892875870482,9.764310742901063e-05,0.001446785778520273,0.0007722144429746418
2019-01-14,"[0.13666041234613846, 0.15174895646304454, 0.1714123007401916, 0.0885993930598494, 0.33955807014384265, 0.04548868260661987, 0.06653218464031338]",0.000364286755350411,0.001270733456871363,-0.000906446701520952,7.683084316436367e-05,0.001008545572096314,0.0005426882076303387
2019-01-15,"[0.1234526550702818, 0.15070100279692877, 0.17331971219990158, 0.07987817348398493, 0.3544099626715485, 0.04393790258332057, 0.07430059119403383]",0.0005782209178966184,0.0005607104701626954,1.751044773392295e-05,0.0002699381164359055,0.0003612415282809857,0.00031558982235844557
2019-01-16,"[0.10713182281291408, 0.14405184735506815, 0.18080517210542404, 0.07582504826573175, 0.3606683216977254, 0.038272784269318356, 0.0932450034938183]",0.002462201246598213,0.0028423181911720282,-0.0003801169445738152,0.0010787268698458407,0.001720728770766867,0.0013997278203063538
2019-01-17,"[0.12128467805925026, 0.14908542566676117, 0.1849570008854852, 0.08242013289645238, 0.3463118181615631, 0.04063203571082031, 0.07530890861966756]",0.0005665507681286,0.0014966403215164656,-0.0009300895533878656,0.0002990712617524546,0.0005019528601769785,0.00040051206096471657
2019-01-18,"[0.12940670149205305, 0.14727592552249666, 0.168544332840463, 0.08536522621823188, 0.3650480896251559, 0.043317141228220626, 0.06104258307337899]",0.0012746081203141647,0.0005127177361832502,0.0007618903841309145,0.000918335987482269,0.0002452882819837775,0.0005818121347330233
