,date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma,smoothed_transience,smoothed_novelty,smoothed_resonance
639,2020-10-01,"[0.08405450128726849, 0.1222656963707333, 0.27901492816211276, 0.12156519392077068, 0.07058076571713312, 0.23747664230545637, 0.03808925753674943, 0.04674281621127813]",0.000472993589027525,0.0009244571133707676,-0.0004514635243432426,0.00020862734368862584,0.000281185113572814,0.00024490622863072,0.0012116445841197667,0.0011829737978372287,-2.8670786282538012e-05
640,2020-10-02,"[0.08706082177804572, 0.11587392756110002, 0.274484023558874, 0.1214073644669109, 0.06213773593655799, 0.241438482585911, 0.039043755507118666, 0.05833529657283308]",0.0004442724329939104,0.0008099703776263755,-0.000365697944632465,6.180031004775434e-05,0.0003663762997737332,0.00021408830491074376,0.001222701980552415,0.0012239504218613448,1.2484413089300167e-06
641,2020-10-03,"[0.1001097909544359, 0.1145335705879056, 0.2538764781707112, 0.13814322143137364, 0.06975990584542956, 0.2346778568626352, 0.03431424087877599, 0.0543598049655327]",0.0011386914054295275,0.0014981861814001472,-0.0003594947759706195,0.00014508001721166898,0.0006402043338326112,0.0003926421755221401,0.001240460592218402,0.001242689589180673,2.228996962270971e-06
642,2020-10-04,"[0.09181740240788032, 0.11635274534841296, 0.24268993980299156, 0.13056628511492155, 0.07262126048887267, 0.25453675665815395, 0.04288884075155052, 0.04833537030280919]",0.000998723699194136,0.0019737580454629896,-0.0009750343462688537,0.0001792585175281221,0.00018194284411568847,0.00018060068082190528,0.0012538709216745147,0.0012572410873812174,3.3701657067028453e-06
643,2020-10-05,"[0.0792990216283055, 0.11746885914484671, 0.2889709525565655, 0.12361366249430544, 0.06613729743801114, 0.23289324684903573, 0.03640134932858971, 0.05499342690413692]",0.0011926796205298195,0.002434337695875628,-0.0012416580753458087,0.0006477179667797598,0.0014152806682797216,0.0010314993175297407,0.001262932968920753,0.0012676049164629785,4.6719475422256004e-06
644,2020-10-06,"[0.0739960045780876, 0.11206444698782642, 0.2925856206430132, 0.1268410155030694, 0.060646093018416385, 0.2537827489335137, 0.03380978045988971, 0.046053605243991255]",0.0017154637903848775,0.002081863535052563,-0.0003663997446676853,0.0007899022926578338,0.0004364626368620437,0.0006131824647599387,0.0012676467339571167,0.0012737810764259561,6.134342468839331e-06
645,2020-10-07,"[0.0702569716479851, 0.10338944265601363, 0.25627601520381643, 0.1275557150060117, 0.07459091261684055, 0.28788688282977154, 0.03322768878718535, 0.04659242524143816]",0.00203971466085131,0.0008949342915274492,0.0011447803693238607,0.00044849563501556485,0.0005294525736632992,0.0004889741043394318,0.0012680122167836065,0.0012757695672701505,7.757350486543976e-06
646,2020-10-08,"[0.06749679253103844, 0.10063488147168544, 0.24546795491779005, 0.12687286579949864, 0.07174618557921955, 0.30449168031897045, 0.03540994414069439, 0.0476529419892229]",0.0023134588704327398,0.0015676636429175748,0.0007457952275151653,0.0015757580552349954,0.00021819611896600928,0.0008969770871005023,0.0012640294174002217,0.001273570388995561,9.540971595339577e-06
647,2020-10-09,"[0.09084982935153582, 0.11045094425483501, 0.24674839590443684, 0.11966627986348122, 0.06757408418657565, 0.28346318543799776, 0.03391968145620022, 0.047122821387940834]",0.0013844565692261908,0.0008663991003869371,0.0005180574688392538,0.0004355431761757404,0.0002636583343521131,0.00034960075526392674,0.0012556983358069623,0.0012671835416021883,1.1485205795226098e-05
648,2020-10-10,"[0.08525403768506055, 0.12392054733064152, 0.23400939883355762, 0.1253346792283535, 0.06526877523553162, 0.2790276357110812, 0.04184513234634364, 0.0451222072678331]",0.0012733336004613599,0.0008872816372133387,0.00038605196324802105,0.0004863445056263964,0.00015226944340927652,0.00031930697451783643,0.001243018972003829,0.0012566090250900326,1.359005308620352e-05
