,date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma,smoothed_transience,smoothed_novelty,smoothed_resonance
0,2019-01-01,"[0.4014444265204065, 0.2915494837877077, 0.30700592837554447]",0.0,0.005372578688322749,0.0,0.0,0.0005579821495173023,0.0,0.001271187041599597,0.0004005437319346028,0.00017947848000290765
1,2019-01-02,"[0.30319224786514715, 0.3521435192533571, 0.34467197866734384]",0.0,0.00041403659844255864,0.0,0.0,0.000298287628302782,0.0,0.0011961525548769589,0.00039212002802647495,0.00016952613847484853
2,2019-01-03,"[0.2973037673797662, 0.3330046563120706, 0.369695418579662]",0.0,0.0001876861843210121,0.0,0.0,1.5290109184521075e-05,0.0,0.0011211180681543207,0.00038369632411834717,0.00015957379694678917
3,2019-01-04,"[0.3091267040646839, 0.34055388761791344, 0.3503205678648657]",0.0016517524952696294,0.00020011140251713046,0.0014516410927524984,0.002136195108054248,0.00015929301303249085,0.0011477440605433694,0.0010460835814316827,0.00037527262021021934,0.00014962145541872984
4,2019-01-05,"[0.3098030697642115, 0.31619793728513385, 0.37399100600757024]",0.00046642954643276436,0.0007766874497193645,-0.0003102579032866002,0.00025575135402619017,0.0005632671091301539,0.00040950923157817207,0.0009710490947090442,0.00036684891630209146,0.00013966911389067058
5,2019-01-06,"[0.3145156975872921, 0.32521144912333283, 0.3602654728008392]",0.00013804645019191444,0.0006310456349018253,-0.0004929991847099108,2.8620644416662092e-05,0.00021699826224347643,0.0001228094533300693,0.000896014607986406,0.00035842521239396363,0.0001297167723626113
6,2019-01-07,"[0.3095510493111884, 0.34830040556199304, 0.3421381807647741]",0.00037100320473517636,0.0001698815504578865,0.0002011216542772899,0.000286095765409001,8.759754187136085e-05,0.0001868466536401809,0.000820980121263768,0.00035000150848583586,0.00011976443083455202
7,2019-01-08,"[0.329110089040199, 0.34830512635851774, 0.32258547204399635]",0.0008591726294501165,8.442736156472114e-05,0.0007747452678853954,0.0004873837822455382,3.530281492533053e-05,0.00026134329858543435,0.0007459456345411297,0.0003415778045777079,0.00010981208930649274
8,2019-01-09,"[0.31393897841390583, 0.3579375104260501, 0.328122576985954]",0.00033851773239538835,0.00020754726402937736,0.0001309704683660109,0.000303496300628139,0.00021159278156807987,0.0002575445410981094,0.0006709111478184917,0.00033315410066958015,9.985974777843343e-05
9,2019-01-10,"[0.32249049300136257, 0.34446426359469834, 0.3330399789421528]",8.949720135934971e-05,0.00023720394219327271,-0.00014770674083392296,1.8160833784842603e-05,0.00013023680825785636,7.419882102134948e-05,0.0005958766610958534,0.00032473039676145227,8.990740625037418e-05
10,2019-01-11,"[0.31943360818879724, 0.3549480617950905, 0.32562853442011813]",4.551994964514114e-05,0.0003994520806246127,-0.00035393213097947146,2.0158336918078346e-05,0.00026941714100273524,0.00014478773896040682,0.0005208421743732152,0.00031630669285332444,7.99550647223149e-05
11,2019-01-12,"[0.31242797017797014, 0.33246143979477316, 0.3551191678691679]",0.0004319236249776505,0.0002404714040422596,0.00019145222093539085,0.00011464330722538515,0.0002542209876051917,0.00018443214741528844,0.00042304468993790897,0.00029886129243206563,6.295128220382906e-05
12,2019-01-13,"[0.3091221392244119, 0.33170426732358554, 0.35917152733630003]",0.0003459780262974812,0.0003328754525829372,1.310257371454405e-05,0.0002620687812805644,0.00026522258057941995,0.00026364568092999215,0.00034235013557012587,0.0002845504132572397,4.729171573276702e-05
13,2019-01-14,"[0.3133704095112285, 0.3605520805812417, 0.32607585865257593]",0.00044265496446811015,0.00024196918474431783,0.0002006857797237924,0.0002985000245783918,0.00013658046798533673,0.0002175402462818643,0.00027875851126986584,0.00027337405532884687,3.2976365309128776e-05
14,2019-01-15,"[0.3097141671114274, 0.3462179327521793, 0.3440730297100161]",0.0001580230605983029,7.005194795700147e-05,8.797111264130144e-05,3.37224211030646e-05,1.3946250760797935e-05,2.3834335931931272e-05,0.0002322698170371291,0.0002653322186468871,2.0005230932914297e-05
15,2019-01-16,"[0.2995036942313157, 0.34677223643080424, 0.35371452117078717]",0.00021162822003894404,0.00021550773324322748,-3.87951320428344e-06,0.00015369199484267532,2.5040652016903868e-05,8.936632342978958e-05,0.00020288405287191555,0.00026042490321136034,8.378312604123604e-06
16,2019-01-17,"[0.31724624151309405, 0.34734320441319105, 0.3354012184772065]",0.00013353916207034058,0.00027749793514294044,-0.0001439587730725998,8.441765983709768e-05,0.0002734068163319335,0.00017891223808451555,0.0001906012187742251,0.00025865210902226664,-1.9043896772433022e-06
17,2019-01-18,"[0.31691094139451653, 0.33411244967086345, 0.34898140218572254]",0.00013485927341886153,0.00019639682118475813,-6.153754776589662e-05,4.354720196738354e-05,0.00017904419379681898,0.00011129569788210124,0.00019542131474405787,0.00026001383607960596,-1.0842875911186429e-05
18,2019-01-19,"[0.3181912611095885, 0.3395029951842137, 0.3423056654007283]",9.174235012463017e-05,0.0002543600115381365,-0.00016261766141350637,8.192618280203488e-05,0.00020870334555052583,0.00014531476417628037,0.0002173443407814139,0.00026451008438337835,-1.843714609770577e-05
19,2019-01-20,"[0.2898046964717063, 0.34366538629073773, 0.36653862907377344]",0.0005499048247498079,0.00036520150144540766,0.00018470332330440024,8.837808550472205e-05,0.0001986497957575855,0.00014351394063115376,0.00025637029688629296,0.00027214085393358376,-2.4687200236801335e-05
20,2019-01-21,"[0.3089181500368838, 0.348585650598159, 0.34250190833573874]",0.00018224783369620467,6.269551286202417e-05,0.00011955232083418052,0.00013107691255737788,2.915873961156241e-05,8.011782608447015e-05,0.0003124991830586953,0.0002829061447302222,-2.9593038328473112e-05
